Overall Pick,Year,Team,Name,Age,Position,Nationality,Amateur Team,Games Played,Goals,Assists,Points,Penalty Minutes,Goalie Wins,Goalie Losses,Goalie Ties/OT,Goals Against Average,Save Percentage,Last Season
16,2008,Boston Bruins,Joe Colborne,18,C,CA,Camrose (AJHL),295,42,72,114,144,,,,,,2016-17
17,2008,Anaheim Ducks,Jake Gardiner,18,D,US,Minnetonka HS (High-MN),645,49,228,277,226,,,,,,2020-21
18,2008,Nashville Predators,Chet Pickard,18,G,CA,Tri-City Americans (WHL),,,,,,,,,,,
19,2008,Philadelphia Flyers,Luca Sbisa,18,D,IT,Lethbridge Hurricanes (WHL),549,20,93,113,385,,,,,,2020-21
20,2008,New York Rangers,Michael Del Zotto,18,D,CA,Oshawa Generals (OHL),736,63,199,262,284,,,,,,2021-22
21,2008,Washington Capitals,Anton Gustafsson,18,C,SE,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,
22,2008,Edmonton Oilers,Jordan Eberle,18,C,CA,Regina Pats (WHL),907,272,361,633,222,,,,,,2022-23
23,2008,Minnesota Wild,Tyler Cuma,18,D,CA,Ottawa 67's (OHL),1,0,0,0,2,,,,,,2011-12
24,2008,New Jersey Devils,Mattias Tedenby,18,LW,SE,HV71 (Sweden),120,10,20,30,42,,,,,,2013-14
25,2008,Calgary Flames,Greg Nemisz,18,C,CA,Windsor Spitfires (OHL),15,0,1,1,0,,,,,,2011-12
26,2008,Buffalo Sabres,Tyler Ennis,18,C,CA,Medicine Hat Tigers (WHL),700,144,202,346,224,,,,,,2021-22
27,2008,Washington Capitals,John Carlson,18,D,US,Indiana Ice (USHL),917,140,474,614,296,,,,,,2022-23
28,2008,Phoenix Coyotes,Viktor Tikhonov,20,RW,LV,Severstal Cherepovets (Russia),111,11,11,22,40,,,,,,2015-16
29,2008,Atlanta Thrashers,Daultan Leveille,18,C,CA,St. Catharines (GHL),,,,,,,,,,,
30,2008,Detroit Red Wings,Thomas McCollum,18,G,US,Guelph Storm (OHL),3,0,0,0,0,1,0,0,2.98,0.879,2014-15
31,2008,Florida Panthers,Jacob Markstrom,18,G,SE,Brynas IF Jr. (Sweden Jr.),411,0,13,13,30,182,165,48,2.70,0.910,2022-23
32,2008,Los Angeles Kings,Slava Voynov,18,D,RU,Traktor Chelyabinsk (Russia),190,18,63,81,72,,,,,,2014-15
33,2008,St. Louis Blues,Philip McRae,18,C,US,London Knights (OHL),15,1,2,3,2,,,,,,2010-11
34,2008,St. Louis Blues,Jake Allen,18,G,CA,St. John's Fog Devils (QMJHL),381,0,5,5,10,178,142,37,2.67,0.910,2022-23
35,2008,Anaheim Ducks,Nicolas Deschamps,18,C,CA,Chicoutimi Sagueneens (QMJHL),3,0,0,0,0,,,,,,2013-14
36,2008,New York Islanders,Corey Trivino,18,C,CA,Stouffville (OPJHL),,,,,,,,,,,
37,2008,Columbus Blue Jackets,Cody Goloubef,18,D,CA,Wisconsin (WCHA),160,3,22,25,76,,,,,,2019-20
38,2008,Nashville Predators,Roman Josi,18,D,CH,SC Bern (Swiss),808,152,431,583,324,,,,,,2022-23
39,2008,Anaheim Ducks,Eric O'Dell,18,C,CA,Sudbury Wolves (OHL),41,3,5,8,29,,,,,,2014-15
40,2008,New York Islanders,Aaron Ness,18,D,US,Roseau HS (High-MN),72,1,6,7,22,,,,,,2020-21
41,2008,Vancouver Canucks,Yann Sauve,18,D,CA,Saint John Sea Dogs (QMJHL),8,0,0,0,0,,,,,,2013-14
42,2008,Ottawa Senators,Patrick Wiercioch,18,D,CA,Omaha Lancers (USHL),268,16,58,74,138,,,,,,2016-17
43,2008,Anaheim Ducks,Justin Schultz,18,D,CA,Westside (BCHL),644,62,226,288,164,,,,,,2022-23
44,2008,Buffalo Sabres,Luke Adam,18,C,CA,St. John's Fog Devils (QMJHL),90,15,11,26,36,,,,,,2014-15
45,2008,Carolina Hurricanes,Zac Dalpe,18,RW,CA,Pentiction (BCHL),165,16,16,32,38,,,,,,2022-23
46,2008,Florida Panthers,Colby Robak,18,D,CA,Brandon Wheat Kings (WHL),47,0,4,4,25,,,,,,2014-15
47,2008,Boston Bruins,Max Sauve,18,C,FR,Val-d'Or Foreurs (QMJHL),1,0,0,0,0,,,,,,2011-12
48,2008,Calgary Flames,Mitch Wahl,18,C,US,Spokane Chiefs (WHL),,,,,,,,,,,
49,2008,Phoenix Coyotes,Jared Staal,18,RW,CA,Sudbury Wolves (OHL),2,0,0,0,2,,,,,,2012-13
50,2008,Colorado Avalanche,Cameron Gaunce,18,D,CA,Mississauga St. Michael's Majors (OHL),37,3,6,9,47,,,,,,2019-20
51,2008,New York Rangers,Derek Stepan,18,C,US,Shattuck-St. Mary's School (High-MN),860,181,329,510,216,,,,,,2022-23
52,2008,New Jersey Devils,Brandon Burlon,18,D,CA,St. Michael's (OPJHL),,,,,,,,,,,
53,2008,New York Islanders,Travis Hamonic,18,D,CA,Moose Jaw Warriors (WHL),767,47,169,216,699,,,,,,2022-23
54,2008,New Jersey Devils,Patrice Cormier,18,C,CA,Rimouski Oceanic (QMJHL),52,1,4,5,18,,,,,,2015-16
55,2008,Minnesota Wild,Marco Scandella,18,D,CA,Val-d'Or Foreurs (QMJHL),699,48,112,160,273,,,,,,2021-22
56,2008,Montreal Canadiens,Danny Kristo,18,RW,US,USA U-18 Development Team (USDP/NAHL),,,,,,,,,,,
