Overall Pick,Year,Team,Name,Age,Position,Nationality,Amateur Team,Games Played,Goals,Assists,Points,Penalty Minutes,Goalie Wins,Goalie Losses,Goalie Ties/OT,Goals Against Average,Save Percentage,Last Season
1,2022,Montreal Canadiens,Juraj Slafkovsky,18,LW,SK,TPS (Finland),39,4,6,10,33,,,,,,2022-23
2,2022,New Jersey Devils,Simon Nemec,18,D,SK,HK Nitra (Slovakia),,,,,,,,,,,
3,2022,Arizona Coyotes,Logan Cooley,18,C,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
4,2022,Seattle Kraken,Shane Wright,18,C,CA,Kingston Frontenacs (OHL),8,1,1,2,2,,,,,,2022-23
5,2022,Philadelphia Flyers,Cutter Gauthier,18,LW,SE,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
6,2022,Columbus Blue Jackets,David Jiricek,18,D,CZ,HC Plzen (Czech),2,0,0,0,2,,,,,,2022-23
7,2022,Chicago Blackhawks,Kevin Korchinski,18,D,CA,Seattle Thunderbirds (WHL),,,,,,,,,,,
8,2022,Detroit Red Wings,Marco Kasper,18,C,AT,Rogle BK (Sweden),,,,,,,,,,,
9,2022,Buffalo Sabres,Matthew Savoie,18,C,CA,Winnipeg Ice (WHL),,,,,,,,,,,
10,2022,Anaheim Ducks,Pavel Mintyukov,18,D,RU,Saginaw Spirit (OHL),,,,,,,,,,,
11,2022,Arizona Coyotes,Conor Geekie,18,C,CA,Winnipeg Ice (WHL),,,,,,,,,,,
12,2022,Columbus Blue Jackets,Denton Mateychuk,18,D,CA,Moose Jaw Warriors (WHL),,,,,,,,,,,
13,2022,Chicago Blackhawks,Frank Nazar,18,C,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
14,2022,Winnipeg Jets,Rutger Mcgroarty,18,RW,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
15,2022,Vancouver Canucks,Jonathan Lekkerimaki,18,RW,SE,Djurgardens IF (Sweden),,,,,,,,,,,
16,2022,Buffalo Sabres,Noah Ostlund,18,C,SE,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,
17,2022,Nashville Predators,Joakim Kemell,18,RW,FI,JYP (Finland),,,,,,,,,,,
18,2022,Dallas Stars,Lian Bichsel,18,D,CH,Leksands IF (Sweden),,,,,,,,,,,
19,2022,Minnesota Wild,Liam Ohgren,18,LW,SE,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,
20,2022,Washington Capitals,Ivan Miroshnichenko,18,LW,RU,Omskie Krylia (Russia-2),,,,,,,,,,,
21,2022,Pittsburgh Penguins,Owen Pickering,18,D,CA,Swift Current Broncos (WHL),,,,,,,,,,,
22,2022,Anaheim Ducks,Nathan Gaucher,18,C,CA,Quebec Remparts (QMJHL),,,,,,,,,,,
23,2022,St. Louis Blues,Jimmy Snuggerud,18,RW,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
24,2022,Minnesota Wild,Danila Yurov,18,RW,RU,Metallurg Magnitogorsk (Russia),,,,,,,,,,,
25,2022,Chicago Blackhawks,Sam Rinzel,18,D,US,Chaska HS (High-MN),,,,,,,,,,,
26,2022,Montreal Canadiens,Filip Mesar,18,RW,SK,HK Poprad (Slovakia),,,,,,,,,,,
27,2022,San Jose Sharks,Filip Bystedt,18,C,SE,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,
28,2022,Buffalo Sabres,Jiri Kulich,18,C,CZ,HC Energie Karlovy Vary (Czech),,,,,,,,,,,
29,2022,Arizona Coyotes,Maveric Lamoureux,18,D,CA,Drummondville Voltigeurs (QMJHL),,,,,,,,,,,
30,2022,Winnipeg Jets,Brad Lambert,18,C,FI,Pelicans (Finland),,,,,,,,,,,
31,2022,Tampa Bay Lightning,Isaac Howard,18,LW,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
32,2022,Edmonton Oilers,Reid Schaefer,18,LW,CA,Seattle Thunderbirds (WHL),,,,,,,,,,,
33,2022,Montreal Canadiens,Owen Beck,18,C,CA,Mississauga Steelheads (OHL),1,0,0,0,0,,,,,,2022-23
34,2022,San Jose Sharks,Cameron Lund,18,C,US,Green Bay Gamblers (USHL),,,,,,,,,,,
35,2022,Seattle Kraken,Jagger Firkus,18,RW,CA,Moose Jaw Warriors (WHL),,,,,,,,,,,
36,2022,Arizona Coyotes,Artem Duda,18,D,RU,Krasnaya Armiya Moskva (Russia Jr.),,,,,,,,,,,
37,2022,Washington Capitals,Ryan Chesley,18,D,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
38,2022,Toronto Maple Leafs,Fraser Minten,18,C,CA,Kamloops Blazers (WHL),,,,,,,,,,,
39,2022,Chicago Blackhawks,Paul Ludwinski,18,C,CA,Kingston Frontenacs (OHL),,,,,,,,,,,
40,2022,Detroit Red Wings,Dylan James,18,LW,CA,Sioux City Musketeers (USHL),,,,,,,,,,,
41,2022,Buffalo Sabres,Topias Leinonen,18,G,FI,JYP Jr. (Finland Jr.),,,,,,,,,,,
42,2022,Anaheim Ducks,Noah Warren,18,D,CA,Gatineau Olympiques (QMJHL),,,,,,,,,,,
43,2022,Arizona Coyotes,Julian Lutz,18,LW,DE,EHC Munchen (Germany),,,,,,,,,,,
44,2022,Columbus Blue Jackets,Luca Del Bel Belluz,18,C,CA,Mississauga Steelheads (OHL),,,,,,,,,,,
45,2022,San Jose Sharks,Mattias Havelid,18,D,SE,Linkoping HC Jr. (Sweden Jr.),,,,,,,,,,,
46,2022,New Jersey Devils,Seamus Casey,18,D,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
47,2022,Minnesota Wild,Hunter Haight,18,C,CA,Barrie Colts (OHL),,,,,,,,,,,
48,2022,Vegas Golden Knights,Matyas Sapovaliv,18,C,CZ,Saginaw Spirit (OHL),,,,,,,,,,,
49,2022,Seattle Kraken,Jani Nyman,18,RW,FI,Ilves (Finland),,,,,,,,,,,
50,2022,Dallas Stars,Christian Kyrou,18,D,CA,Erie Otters (OHL),,,,,,,,,,,
51,2022,Los Angeles Kings,Jack Hughes,18,C,US,Northeastern (H-East),,,,,,,,,,,
52,2022,Detroit Red Wings,Dmitri Buchelnikov,19,LW,RU,SKA 1946 St. Petersburg (Russia Jr.),,,,,,,,,,,
53,2022,Anaheim Ducks,Tristan Luneau,18,D,CA,Gatineau Olympiques (QMJHL),,,,,,,,,,,
54,2022,Boston Bruins,Matthew Poitras,18,C,CA,Guelph Storm (OHL),,,,,,,,,,,
55,2022,Winnipeg Jets,Elias Salomonsson,18,D,SE,Skelleftea AIK Jr. (Finland Jr.),,,,,,,,,,,
56,2022,Minnesota Wild,Rieger Lorenz,18,LW,CA,Okotoks (AJHL),,,,,,,,,,,
57,2022,Chicago Blackhawks,Ryan Greene,18,C,CA,Green Bay Gamblers (USHL),,,,,,,,,,,
58,2022,Seattle Kraken,Niklas Kokko,18,G,FI,Karpat Jr. (Finland Jr.),,,,,,,,,,,
59,2022,Calgary Flames,Topi Ronni,18,C,FI,Tappara Jr. (Finland Jr.),,,,,,,,,,,
60,2022,Carolina Hurricanes,Gleb Trikozov,18,LW,RU,Omskie Yasterby (Russia Jr.),,,,,,,,,,,
61,2022,Seattle Kraken,David Goyette,18,C,CA,Sudbury Wolves (OHL),,,,,,,,,,,
62,2022,Montreal Canadiens,Lane Hutson,18,D,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
63,2022,New York Rangers,Adam Sykora,18,LW,SK,HK Nitra (Slovakia),,,,,,,,,,,
64,2022,Ottawa Senators,Filip Nordberg,18,D,SE,Sodertalje SK Jr. (Sweden Jr.),,,,,,,,,,,
65,2022,New York Islanders,Calle Odelius,18,D,SE,Djurgardens IF Jr. (Sweden Jr.),,,,,,,,,,,
1,2021,Buffalo Sabres,Owen Power,18,D,CA,Michigan (Big Ten),54,5,17,22,20,,,,,,2022-23
2,2021,Seattle Kraken,Matthew Beniers,18,C,US,Michigan (Big Ten),57,20,25,45,2,,,,,,2022-23
3,2021,Anaheim Ducks,Mason Mctavish,18,C,CH,Peterborough Petes (OHL),58,12,19,31,28,,,,,,2022-23
4,2021,New Jersey Devils,Luke Hughes,18,D,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
5,2021,Columbus Blue Jackets,Kent Johnson,18,C,CA,Michigan (Big Ten),56,10,17,27,10,,,,,,2022-23
6,2021,Detroit Red Wings,Simon Edvinsson,18,D,SE,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,
7,2021,San Jose Sharks,William Eklund,18,LW,SE,Djurgardens IF (Sweden),9,0,4,4,2,,,,,,2021-22
8,2021,Los Angeles Kings,Brandt Clarke,18,D,CA,Barrie Colts (OHL),9,0,2,2,6,,,,,,2022-23
9,2021,Arizona Coyotes,Dylan Guenther,18,RW,CA,Edmonton Oil Kings (WHL),33,6,9,15,10,,,,,,2022-23
10,2021,Ottawa Senators,Tyler Boucher,18,RW,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
12,2021,Columbus Blue Jackets,Cole Sillinger,18,C,US,Sioux Falls Stampede (USHL),124,18,20,38,53,,,,,,2022-23
13,2021,Calgary Flames,Matthew Coronato,18,RW,US,Chicago Steel (USHL),,,,,,,,,,,
14,2021,Buffalo Sabres,Isak Rosen,18,RW,SE,Leksands IF (Sweden),,,,,,,,,,,
15,2021,Detroit Red Wings,Sebastian Cossa,18,G,CA,Edmonton Oil Kings (WHL),,,,,,,,,,,
16,2021,New York Rangers,Brennan Othmann,18,LW,CA,Flint Firebirds (OHL),,,,,,,,,,,
17,2021,St. Louis Blues,Zachary Bolduc,18,C,CA,Rimouski Oceanic (QMJHL),,,,,,,,,,,
18,2021,Winnipeg Jets,Chaz Lucius,18,C,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
19,2021,Nashville Predators,Fedor Svechkov,18,C,RU,Lada Togliatti (Russia-2),,,,,,,,,,,
20,2021,Minnesota Wild,Jesper Wallstedt,18,G,SE,Lulea HF (Sweden),,,,,,,,,,,
21,2021,Boston Bruins,Fabian Lysell,18,RW,SE,Lulea HF (Sweden),,,,,,,,,,,
22,2021,Edmonton Oilers,Xavier Bourgault,18,C,CA,Shawinigan Cataractes (QMJHL),,,,,,,,,,,
23,2021,Dallas Stars,Wyatt Johnston,18,C,CA,Windsor Spitfires (OHL),51,13,9,22,14,,,,,,2022-23
24,2021,Florida Panthers,Mackie Samoskevich,18,RW,US,Chicago Steel (USHL),,,,,,,,,,,
25,2021,Columbus Blue Jackets,Corson Ceulemans,18,D,CA,Brooks (AJHL),,,,,,,,,,,
26,2021,Minnesota Wild,Carson Lambos,18,D,CA,Winnipeg Ice (WHL),,,,,,,,,,,
27,2021,Nashville Predators,Zachary L'Heureux,18,LW,CA,Halifax Mooseheads (QMJHL),,,,,,,,,,,
28,2021,Colorado Avalanche,Oskar Olausson,18,RW,SE,HV71 (Sweden),1,0,0,0,0,,,,,,2022-23
29,2021,New Jersey Devils,Chase Stillman,18,RW,US,Sudbury Wolves (OHL),,,,,,,,,,,
30,2021,Vegas Golden Knights,Zach Dean,18,C,CA,Gatineau Olympiques (QMJHL),,,,,,,,,,,
31,2021,Montreal Canadiens,Logan Mailloux,18,D,CA,London (GOJHL),,,,,,,,,,,
32,2021,Chicago Blackhawks,Nolan Allan,18,D,CA,Prince Albert Raiders (WHL),,,,,,,,,,,
33,2021,Buffalo Sabres,Prokhor Poltapov,18,LW,RU,Krasnaya Armiya Moskva (Russia Jr.),,,,,,,,,,,
34,2021,Anaheim Ducks,Olen Zellweger,18,D,CA,Everett Silvertips (WHL),,,,,,,,,,,
35,2021,Seattle Kraken,Ryker Evans,19,D,CA,Regina Pats (WHL),,,,,,,,,,,
36,2021,Detroit Red Wings,Shai Buium,18,D,US,Sioux City Musketeers (USHL),,,,,,,,,,,
37,2021,Arizona Coyotes,Josh Doan,19,RW,US,Chicago Steel (USHL),,,,,,,,,,,
38,2021,Vegas Golden Knights,Daniil Chayka,18,D,RU,CSKA Moskva (Russia),,,,,,,,,,,
39,2021,Ottawa Senators,Zack Ostapchuk,18,C,CA,Vancouver Giants (WHL),,,,,,,,,,,
40,2021,Carolina Hurricanes,Scott Morrow,18,D,US,Shattuck-St. Mary's School (High-MN),,,,,,,,,,,
41,2021,Vancouver Canucks,Danila Klimovich,18,RW,BY,Minsk Zubry (Belarus-2),,,,,,,,,,,
42,2021,Los Angeles Kings,Francesco Pinelli,18,C,CA,Kitchener Rangers (OHL),,,,,,,,,,,
43,2021,Arizona Coyotes,Ilya Fedotov,18,LW,RU,Chaika Nizhny Novgorod (Russia Jr.),,,,,,,,,,,
44,2021,Carolina Hurricanes,Aleksi Heimosalmi,18,D,FI,Assat Jr. (Finland Jr.),,,,,,,,,,,
45,2021,Calgary Flames,William Stromgren,18,LW,SE,MODO Hockey (Sweden-2),,,,,,,,,,,
46,2021,Philadelphia Flyers,Samu Tuomaala,18,RW,FI,Karpat Jr. (Finland Jr.),,,,,,,,,,,
47,2021,Dallas Stars,Logan Stankoven,18,C,CA,Kamloops Blazers (WHL),,,,,,,,,,,
48,2021,Dallas Stars,Artem Grushnikov,18,D,RU,Krasnaya Armiya Moskva (Russia Jr.),,,,,,,,,,,
49,2021,Ottawa Senators,Ben Roger,18,D,CA,London Knights (OHL),,,,,,,,,,,
50,2021,Winnipeg Jets,Nikita Chibrikov,18,RW,RU,SKA St. Petersburg (Russia),,,,,,,,,,,
51,2021,Carolina Hurricanes,Ville Koivunen,18,RW,FI,Karpat Jr. (Finland Jr.),,,,,,,,,,,
52,2021,New York Islanders,Aatu Raty,18,C,FI,Karpat (Finland),12,2,0,2,4,,,,,,2022-23
53,2021,Buffalo Sabres,Aleksandr Kisakov,18,LW,RU,MHK Dynamo Moskva (Russia Jr.),,,,,,,,,,,
54,2021,Minnesota Wild,Jack Peart,18,D,US,Grand Rapids HS (High-MN),,,,,,,,,,,
55,2021,Washington Capitals,Vincent Iorio,18,D,CA,Brandon Wheat Kings (WHL),,,,,,,,,,,
56,2021,Florida Panthers,Evan Nause,18,D,CA,Quebec Remparts (QMJHL),,,,,,,,,,,
57,2021,Toronto Maple Leafs,Matthew Knies,18,LW,US,Tri-City Storm (USHL),,,,,,,,,,,
58,2021,Pittsburgh Penguins,Tristan Broz,18,C,US,Fargo Force (USHL),,,,,,,,,,,
59,2021,Los Angeles Kings,Samuel Helenius,18,C,US,JYP (Finland),,,,,,,,,,,
60,2021,Arizona Coyotes,Janis Moser,21,D,CH,EHC Biel-Bienne (Swiss),93,9,24,33,41,,,,,,2022-23
61,2021,Colorado Avalanche,Sean Behrens,18,D,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
62,2021,Chicago Blackhawks,Colton Dach,18,C,CA,Saskatoon Blades (WHL),,,,,,,,,,,
63,2021,Montreal Canadiens,Riley Kidney,18,C,CA,Acadie-Bathurst Titan (QMJHL),,,,,,,,,,,
64,2021,Montreal Canadiens,Oliver Kapanen,18,C,SE,KalPa Jr. (Finland Jr.),,,,,,,,,,,
1,2020,New York Rangers,Alexis Lafreniere,18,LW,CA,Rimouski Oceanic (QMJHL),183,37,37,74,61,,,,,,2022-23
2,2020,Los Angeles Kings,Quinton Byfield,18,C,CA,Sudbury Wolves (OHL),69,7,13,20,36,,,,,,2022-23
3,2020,Ottawa Senators,Tim Stutzle,18,LW,DE,Adler Mannheim (Germany),177,54,78,132,81,,,,,,2022-23
4,2020,Detroit Red Wings,Lucas Raymond,18,LW,SE,Frolunda HC (Sweden),130,38,51,89,38,,,,,,2022-23
5,2020,Ottawa Senators,Jake Sanderson,18,D,US,USA U-18 Development Team (USDP/USHL),49,2,18,20,4,,,,,,2022-23
6,2020,Anaheim Ducks,Jamie Drysdale,18,D,CA,Erie Otters (OHL),113,7,33,40,24,,,,,,2022-23
7,2020,New Jersey Devils,Alexander Holtz,18,RW,SE,Djurgardens IF (Sweden),27,3,3,6,10,,,,,,2022-23
8,2020,Buffalo Sabres,Jack Quinn,18,RW,CA,Ottawa 67's (OHL),44,9,13,22,4,,,,,,2022-23
9,2020,Minnesota Wild,Marco Rossi,18,C,AT,Ottawa 67's (OHL),18,0,1,1,10,,,,,,2022-23
10,2020,Winnipeg Jets,Cole Perfetti,18,C,CA,Saginaw Spirit (OHL),65,9,27,36,16,,,,,,2022-23
11,2020,Nashville Predators,Iaroslav Askarov,18,G,RU,Neva St. Petersburg (Russia-2),1,0,0,0,0,0,1,0,4.15,0.886,2022-23
12,2020,Florida Panthers,Anton Lundell,18,C,FI,HIFK (Finland),108,25,41,66,45,,,,,,2022-23
13,2020,Carolina Hurricanes,Seth Jarvis,18,C,CA,Portland Winterhawks (WHL),117,25,39,64,28,,,,,,2022-23
14,2020,Edmonton Oilers,Dylan Holloway,18,C,CA,Wisconsin (Big Ten),46,3,6,9,27,,,,,,2022-23
15,2020,Toronto Maple Leafs,Rodion Amirov,18,LW,RU,Salavat Yulaev Ufa (Russia),,,,,,,,,,,
16,2020,Montreal Canadiens,Kaiden Guhle,18,D,CA,Prince Albert Raiders (WHL),36,2,12,14,21,,,,,,2022-23
17,2020,Chicago Blackhawks,Lukas Reichel,18,LW,DE,Eisbaren Berlin (Germany),15,1,3,4,0,,,,,,2022-23
18,2020,New Jersey Devils,Dawson Mercer,18,C,CA,Chicoutimi Sagueneens (QMJHL),131,28,43,71,40,,,,,,2022-23
19,2020,New York Rangers,Braden Schneider,18,D,CA,Brandon Wheat Kings (WHL),92,7,17,24,18,,,,,,2022-23
20,2020,New Jersey Devils,Shakir Mukhamadullin,18,D,RU,Salavat Yulaev Ufa (Russia),,,,,,,,,,,
21,2020,Columbus Blue Jackets,Yegor Chinakhov,19,RW,RU,Omskie Yastreby (Russia Jr.),92,11,16,27,26,,,,,,2022-23
22,2020,Washington Capitals,Hendrix Lapierre,18,C,CA,Chicoutimi Sagueneens (QMJHL),6,1,0,1,2,,,,,,2021-22
23,2020,Philadelphia Flyers,Tyson Foerster,18,RW,CA,Barrie Colts (OHL),,,,,,,,,,,
24,2020,Calgary Flames,Connor Zary,18,C,CA,Kamloops Blazers (WHL),,,,,,,,,,,
25,2020,Colorado Avalanche,Justin Barron,18,D,CA,Halifax Mooseheads (QMJHL),20,1,5,6,4,,,,,,2022-23
26,2020,St. Louis Blues,Jake Neighbours,18,LW,CA,Edmonton Oil Kings (WHL),36,5,5,10,11,,,,,,2022-23
27,2020,Anaheim Ducks,Jacob Perreault,18,RW,CA,Sarnia Sting (OHL),1,0,0,0,0,,,,,,2021-22
28,2020,Ottawa Senators,Ridly Greig,18,C,CA,Brandon Wheat Kings (WHL),3,0,2,2,0,,,,,,2022-23
29,2020,Vegas Golden Knights,Brendan Brisson,18,C,US,Chicago Steel (USHL),,,,,,,,,,,
30,2020,Dallas Stars,Mavrik Bourque,18,C,CA,Shawinigan Cataractes (QMJHL),,,,,,,,,,,
31,2020,San Jose Sharks,Ozzy Wiesblatt,18,RW,CA,Prince Albert Raiders (WHL),,,,,,,,,,,
32,2020,Detroit Red Wings,William Wallinder,18,D,SE,MODO Hockey Jr. (Sweden Jr.),,,,,,,,,,,
33,2020,Ottawa Senators,Roby Jarventie,18,LW,FI,KOOVEE (Finland-2),,,,,,,,,,,
34,2020,Buffalo Sabres,John-Jason Peterka,18,RW,DE,EHC Munchen (Germany),49,7,12,19,22,,,,,,2022-23
35,2020,Los Angeles Kings,Helge Grans,18,D,SE,Malmo Jr. (Sweden Jr.),,,,,,,,,,,
36,2020,Anaheim Ducks,Sam Colangelo,18,RW,US,Chicago Steel (USHL),,,,,,,,,,,
37,2020,Minnesota Wild,Marat Khusnutdinov,18,C,RU,SKA 1946 St. Petersburg (Russia Jr.),,,,,,,,,,,
38,2020,San Jose Sharks,Thomas Bordeleau,18,C,US,USA U-18 Development Team (USDP/USHL),8,0,5,5,0,,,,,,2021-22
39,2020,Minnesota Wild,Ryan O'Rourke,18,D,CA,Soo Greyhounds (OHL),,,,,,,,,,,
40,2020,Winnipeg Jets,Daniel Torgersson,18,LW,SE,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,
41,2020,Carolina Hurricanes,Noel Gunler,18,RW,SE,Lulea HF (Sweden),,,,,,,,,,,
42,2020,Nashville Predators,Luke Evangelista,18,RW,CA,London Knights (OHL),,,,,,,,,,,
43,2020,Florida Panthers,Emil Heineman,18,LW,SE,Leksands IF Jr. (Sweden Jr.),,,,,,,,,,,
44,2020,Ottawa Senators,Tyler Kleven,18,D,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
45,2020,Los Angeles Kings,Brock Faber,18,D,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
46,2020,Chicago Blackhawks,Drew Commesso,18,G,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
47,2020,Montreal Canadiens,Luke Tuch,18,LW,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
48,2020,Montreal Canadiens,Jan Mysak,18,C,CZ,Hamilton Bulldogs (OHL),,,,,,,,,,,
50,2020,Calgary Flames,Yan Kuznetsov,18,D,RU,Connecticut (H-East),,,,,,,,,,,
51,2020,Detroit Red Wings,Theodor Niederbach,18,C,SE,Frolunda HC Jr. (Sweden Jr.),,,,,,,,,,,
52,2020,Pittsburgh Penguins,Joel Blomqvist,18,G,FI,Karpat Jr. (Finland Jr.),,,,,,,,,,,
53,2020,Carolina Hurricanes,Vasiliy Ponomarev,18,C,RU,Shawinigan Cataractes (QMJHL),,,,,,,,,,,
54,2020,Philadelphia Flyers,Emil Andrae,18,D,SE,HV71 Jr. (Sweden Jr.),,,,,,,,,,,
55,2020,Detroit Red Wings,Cross Hanas,18,LW,US,Portland Winterhawks (WHL),,,,,,,,,,,
56,2020,San Jose Sharks,Tristen Robins,18,RW,GB,Saskatoon Blades (WHL),,,,,,,,,,,
57,2020,Tampa Bay Lightning,Jack Finley,18,C,US,Spokane Chiefs (WHL),,,,,,,,,,,
58,2020,Boston Bruins,Mason Lohrei,19,D,US,Green Bay Gamblers (USHL),,,,,,,,,,,
59,2020,Toronto Maple Leafs,Roni Hirvonen,18,C,FI,Assat (Finland),,,,,,,,,,,
60,2020,New York Rangers,William Cuylle,18,LW,CA,Windsor Spitfires (OHL),2,0,0,0,5,,,,,,2022-23
61,2020,Ottawa Senators,Egor Sokolov,20,LW,RU,Cape Breton Eagles (QMJHL),8,0,0,0,4,,,,,,2021-22
62,2020,Tampa Bay Lightning,Gage Goncalves,19,C,CA,Everett Silvertips (WHL),,,,,,,,,,,
1,2019,New Jersey Devils,Jack Hughes,18,C,US,USA U-18 Development Team (USDP/USHL),215,77,95,172,30,,,,,,2022-23
2,2019,New York Rangers,Kaapo Kakko,18,RW,FI,TPS (Finland),206,35,46,81,42,,,,,,2022-23
3,2019,Chicago Blackhawks,Kirby Dach,18,C,CA,Saskatoon Blades (WHL),202,29,62,91,114,,,,,,2022-23
4,2019,Colorado Avalanche,Bowen Byram,18,D,CA,Vancouver Giants (WHL),59,7,17,24,39,,,,,,2022-23
5,2019,Los Angeles Kings,Alex Turcotte,18,C,US,USA U-18 Development Team (USDP/USHL),11,0,0,0,7,,,,,,2022-23
6,2019,Detroit Red Wings,Moritz Seider,18,D,DE,Adler Mannheim (Germany),130,10,64,74,52,,,,,,2022-23
7,2019,Buffalo Sabres,Dylan Cozens,18,C,CA,Lethbridge Hurricanes (WHL),168,34,60,94,95,,,,,,2022-23
8,2019,Edmonton Oilers,Philip Broberg,18,D,SE,AIK (Sweden-2),47,1,6,7,10,,,,,,2022-23
9,2019,Anaheim Ducks,Trevor Zegras,18,C,US,USA U-18 Development Team (USDP/USHL),149,44,72,116,118,,,,,,2022-23
10,2019,Vancouver Canucks,Vasily Podkolzin,18,RW,RU,SKA Neva St. Petersburg (Russia-2),95,14,15,29,35,,,,,,2022-23
11,2019,Arizona Coyotes,Victor Soderstrom,18,D,SE,Brynas IF (Sweden),20,1,1,2,6,,,,,,2021-22
12,2019,Minnesota Wild,Matthew Boldy,18,LW,US,USA U-18 Development Team (USDP/USHL),95,31,44,75,34,,,,,,2022-23
13,2019,Florida Panthers,Spencer Knight,18,G,US,USA U-18 Development Team (USDP/USHL),55,0,1,1,0,32,16,6,2.85,0.908,2022-23
14,2019,Philadelphia Flyers,Cameron York,18,D,US,USA U-18 Development Team (USDP/USHL),57,4,17,21,12,,,,,,2022-23
15,2019,Montreal Canadiens,Cole Caufield,18,RW,US,USA U-18 Development Team (USDP/USHL),123,53,31,84,14,,,,,,2022-23
16,2019,Colorado Avalanche,Alex Newhook,18,C,CA,Victoria (BCHL),125,25,31,56,28,,,,,,2022-23
17,2019,Vegas Golden Knights,Peyton Krebs,18,C,CA,Kootenay Ice (WHL),102,13,23,36,54,,,,,,2022-23
18,2019,Dallas Stars,Thomas Harley,18,D,US,Mississauga Steelheads (OHL),34,1,3,4,6,,,,,,2021-22
19,2019,Ottawa Senators,Lassi Thomson,18,D,FI,Kelowna Rockets (WHL),18,0,5,5,6,,,,,,2022-23
20,2019,Winnipeg Jets,Ville Heinola,18,D,FI,Lukko (Finland),35,1,10,11,18,,,,,,2022-23
21,2019,Pittsburgh Penguins,Samuel Poulin,18,RW,CA,Sherbrooke Phoenix (QMJHL),3,0,1,1,2,,,,,,2022-23
22,2019,Los Angeles Kings,Tobias Bjornfot,18,D,SE,Djurgardens IF Jr. (Sweden Jr.),112,1,14,15,24,,,,,,2022-23
23,2019,New York Islanders,Simon Holmstrom,18,RW,SE,HV71 Jr. (Sweden Jr.),24,2,1,3,0,,,,,,2022-23
24,2019,Nashville Predators,Philip Tomasino,18,C,CA,Niagara IceDogs (OHL),76,11,21,32,10,,,,,,2021-22
25,2019,Washington Capitals,Connor McMichael,18,C,CA,London Knights (OHL),75,9,9,18,17,,,,,,2022-23
26,2019,Calgary Flames,Jakob Pelletier,18,LW,CA,Moncton Wildcats (QMJHL),4,0,0,0,0,,,,,,2022-23
27,2019,Tampa Bay Lightning,Nolan Foote,18,LW,US,Kelowna Rockets (WHL),16,4,2,6,0,,,,,,2022-23
28,2019,Carolina Hurricanes,Ryan Suzuki,18,C,CA,Barrie Colts (OHL),,,,,,,,,,,
29,2019,Anaheim Ducks,Brayden Tracey,18,LW,CA,Moose Jaw Warriors (WHL),1,0,0,0,0,,,,,,2021-22
30,2019,Boston Bruins,John Beecher,18,C,US,USA U-18 Development Team (USDP/USHL),,,,,,,,,,,
31,2019,Buffalo Sabres,Ryan Johnson,18,D,US,Sioux Falls Stampede (USHL),,,,,,,,,,,
32,2019,Ottawa Senators,Shane Pinto,18,C,US,Tri-City Storm (USHL),66,13,15,28,22,,,,,,2022-23
33,2019,Los Angeles Kings,Arthur Kaliyev,18,RW,UZ,Hamilton Bulldogs (OHL),115,24,23,47,43,,,,,,2022-23
34,2019,Philadelphia Flyers,Bobby Brink,18,RW,US,Sioux City Musketeers (USHL),10,0,4,4,0,,,,,,2021-22
35,2019,Detroit Red Wings,Antti Tuomisto,18,D,FI,Assat Jr. (Finland Jr.),,,,,,,,,,,
36,2019,Carolina Hurricanes,Pyotr Kochetkov,20,G,RU,HK Ryazan (Russia-2),22,0,0,0,0,13,4,5,2.34,0.912,2022-23
37,2019,Ottawa Senators,Mads Sogaard,18,G,DK,Medicine Hat Tigers (WHL),2,0,0,0,0,1,1,0,3.07,0.889,2021-22
38,2019,Edmonton Oilers,Raphael Lavoie,18,C,CA,Halifax Mooseheads (QMJHL),,,,,,,,,,,
39,2019,Anaheim Ducks,Jackson LaCombe,18,D,US,Shattuck-St. Mary's School (High-MN),,,,,,,,,,,
40,2019,Vancouver Canucks,Nils Hoglander,18,LW,SE,Rogle BK (Sweden),141,26,28,54,46,,,,,,2022-23
